1413741615 utime AM_vel(rpm) AM_supV(dV) AM_supI(dA) AM_bpT(dC)  AM_amT(dC) AM_motT(dC) AM_SOC AM_thr AM_rgn
1413741615 mins   0      0    -37624        0     0      0       0       0       0  
1413741615 maxs   0     37624  37624     37624 37624  37624    37624  37624  37624 
1413741615 attr   N        N      N        N      N     N       N       N       N  
1413741818 204025 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741819 205030 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741820 206037 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741821 207038 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741822 208039 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741823 209045 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741824 210049 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741825 211051 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741826 212058 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741827 213063 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741828 214069 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741829 215072 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741830 216075 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741831 217080 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741832 218086 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741833 219089 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741834 220095 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741835 221100 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741836 222103 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741837 223108 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741838 224114 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741839 225121 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741840 226126 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741841 227127 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741842 228128 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741843 229129 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741844 230134 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741845 231143 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741846 232146 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741847 233155 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741848 234162 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741849 235163 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741850 236164 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741851 237165 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741852 238166 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741853 239175 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741854 240177 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741855 241183 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741856 242188 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741857 243190 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741858 244197 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741859 245199 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741860 246206 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741861 247213 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741862 248218 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741863 249222 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741864 250223 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741865 251230 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741866 252241 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741867 253247 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741868 254250 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741869 255256 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741870 256263 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741871 257265 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741872 258267 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741873 259273 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741874 260280 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741875 261285 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741876 262291 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741877 263295 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741878 264297 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741879 265299 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741880 266300 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741881 267304 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741882 268307 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741883 269313 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741884 270316 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741885 271319 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741886 272323 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741887 273331 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741888 274338 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741889 275345 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741890 276347 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741891 277351 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741892 278358 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741893 279359 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741894 280360 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741895 281363 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741896 282367 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741897 283372 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741898 284376 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741899 285391 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741900 286396 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741901 287398 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741902 288401 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741903 289408 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741904 290415 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741905 291416 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741906 292420 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741907 293422 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741908 294425 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741909 295428 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741910 296429 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741911 297430 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741912 298431 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741913 299437 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741914 300444 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741915 301449 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741916 302453 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741917 303460 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741918 304461 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741919 305466 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741920 306471 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741921 307472 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741922 308474 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741923 309477 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741924 310479 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741925 311483 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741926 312488 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741927 313496 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741928 314502 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741929 315508 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741930 316515 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741931 317520 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
1413741932 318525 -5904 -18705 -6784 -18705 -24365 0 -11808 -18727 -29180
