1413741615 utime cmd  I(cA)    SOC   stat  on mea bal  tr  yr  mo  dy  hr  mn sc   ti
1413741776 162813 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741777 163814 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741778 164821 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741779 165823 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741780 166828 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741781 167832 99 3 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741782 168838 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741783 169847 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741784 170850 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741785 171869 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741786 172875 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741787 173876 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741788 174883 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741789 175888 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741790 176896 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741791 177899 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741792 178906 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741793 179914 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741794 180919 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741795 181921 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741796 182924 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741797 183925 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741798 184928 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741799 185931 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741800 186934 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741801 187941 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741802 188949 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741803 189953 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741804 190961 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741805 191969 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741806 192975 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741807 193980 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741808 194984 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741809 195992 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741810 196998 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741812 198002 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741813 199008 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741814 200014 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741815 201018 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741816 202019 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741817 203020 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741818 204025 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741819 205030 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741820 206037 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741821 207038 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741822 208039 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741823 209045 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741824 210049 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741825 211051 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741826 212058 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741827 213063 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741828 214069 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741829 215072 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741830 216075 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741831 217080 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741832 218086 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741833 219089 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741834 220095 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741835 221100 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741836 222103 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741837 223108 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741838 224114 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741839 225121 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741840 226126 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741841 227127 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741842 228128 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741843 229129 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741844 230134 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741845 231143 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741846 232146 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741847 233155 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741848 234162 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741849 235163 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741850 236164 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741851 237165 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741852 238166 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741853 239175 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741854 240177 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741855 241183 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741856 242188 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741857 243190 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741858 244197 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741859 245199 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741860 246206 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741861 247213 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741862 248218 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
