1413747310 utime BVLR1 OVT1 NOC1 UNDV1 Vin1 Vout1 Iin1 Tamb1 BVLR2 OVT2 NOC2 UNDV2 Vin2 Vout2 Iin2 Tamb2 BVLR3 OVT3 NOC3 UNDV3  Vin3  Vout3 Iin3 Tamb3
1413747310 mins    0    0    0    0     0     0    0     0     0    0    0    0     0     0    0     0     0    0    0    0     0     0      0     0
1413747310 maxs    1    1    1    1    1000  1000 1000  100    1    1    1    1    1000  1000 1000  100    1    1    1    1    1000  1000 1000   100
1413747310 attr    L    L    L    L     I     I    I     I     L    L    L    L     I     I    I     I     L    L    L    L     I     I      I     I
1413747499 191122 0 0 0 0 519 588 184 25 0 0 0 0 356 584 203 30 0 0 0 0 396 585 161 30
1413747500 192126 0 0 0 0 519 588 184 25 0 0 0 0 356 584 203 30 0 0 0 0 396 585 161 30
1413747501 193135 0 0 0 0 521 588 182 25 0 0 0 0 385 585 190 30 0 0 0 0 387 585 162 30
1413747502 194143 0 0 0 0 466 587 200 30 0 0 0 0 371 585 199 30 0 0 0 0 392 585 162 30
1413747503 195149 0 0 0 0 506 587 188 30 0 0 0 0 370 586 200 25 0 0 0 0 402 584 158 25
1413747504 196155 0 0 0 0 465 588 201 25 0 0 0 0 356 585 204 30 0 0 0 0 406 584 150 30
1413747505 197161 0 0 0 0 507 588 187 30 0 0 0 0 385 586 191 30 0 0 0 0 417 584 134 30
1413747506 198169 0 0 0 0 466 588 201 30 0 0 0 0 371 586 201 25 0 0 0 0 392 584 161 30
1413747507 199171 0 0 0 0 517 587 186 25 0 0 0 0 370 585 202 25 0 0 0 0 402 585 160 30
1413747508 200177 0 0 0 0 466 588 208 30 0 0 0 0 356 585 208 30 0 0 0 0 396 584 161 30
1413747509 201178 0 0 0 0 469 588 215 25 0 0 0 0 386 585 201 30 0 0 0 0 387 585 163 30
1413747510 202182 0 0 0 0 496 588 220 25 0 0 0 0 373 585 221 30 0 0 0 0 392 585 164 30
1413747511 203184 0 0 0 0 477 588 246 30 0 0 0 0 374 585 237 30 0 0 0 0 371 584 174 30
1413747512 204186 0 0 0 0 466 588 262 30 0 0 0 0 387 586 244 30 0 0 0 0 366 585 192 30
1413747513 205200 0 0 0 0 498 588 253 30 0 0 0 0 386 585 253 30 0 0 0 0 355 585 208 30
1413747514 206204 0 0 0 0 512 588 242 25 0 0 0 0 373 585 265 30 0 0 0 0 352 585 209 30
1413747515 207211 0 0 0 0 509 588 243 30 0 0 0 0 371 586 265 30 0 0 0 0 341 585 213 30
1413747516 208217 0 0 0 0 505 589 256 30 0 0 0 0 388 585 258 30 0 0 0 0 344 585 213 30
1413747517 209218 0 0 0 0 509 589 266 30 0 0 0 0 359 586 287 30 0 0 0 0 356 585 213 30
1413747518 210219 0 0 0 0 483 589 311 30 0 0 0 0 372 586 305 30 0 0 0 0 352 585 227 30
1413747519 211224 0 0 0 0 494 588 328 30 0 0 0 0 374 585 330 30 0 0 0 0 341 585 257 30
1413747520 212232 0 0 0 0 498 589 335 30 0 0 0 0 357 587 355 25 0 0 0 0 314 585 299 30
1413747521 213240 0 0 0 0 510 588 321 30 0 0 0 0 391 586 333 30 0 0 0 0 325 586 278 30
1413747522 214247 0 0 0 0 513 589 330 25 0 0 0 0 403 586 318 25 0 0 0 0 321 585 288 30
1413747523 215251 0 0 0 0 507 589 358 30 0 0 0 0 374 586 373 30 0 0 0 0 309 586 322 30
1413747524 216253 0 0 0 0 506 589 374 25 0 0 0 0 390 586 380 30 0 0 0 0 306 585 338 30
1413747525 217257 0 0 0 0 500 589 376 25 0 0 0 0 391 586 386 30 0 0 0 0 295 586 345 30
1413747526 218258 0 0 0 0 506 589 345 30 0 0 0 0 373 587 387 25 0 0 0 0 297 585 330 30
1413747527 219266 0 0 0 0 499 589 321 30 0 0 0 0 375 586 354 30 0 0 0 0 310 585 298 30
1413747528 220270 0 0 0 0 497 589 301 25 0 0 0 0 357 586 334 25 0 0 0 0 312 585 275 25
1413747529 221279 0 0 0 0 496 589 297 30 0 0 0 0 358 586 321 25 0 0 0 0 325 585 248 30
1413747530 222280 0 0 0 0 497 589 300 30 0 0 0 0 372 587 317 30 0 0 0 0 328 585 248 30
1413747531 223290 0 0 0 0 510 589 294 30 0 0 0 0 375 586 323 30 0 0 0 0 341 586 246 30
1413747532 224291 0 0 0 0 514 589 297 30 0 0 0 0 357 585 338 30 0 0 0 0 343 585 246 30
1413747533 225293 0 0 0 0 495 589 305 25 0 0 0 0 358 585 333 30 0 0 0 0 356 585 226 30
1413747534 226297 0 0 0 0 498 589 283 30 0 0 0 0 373 586 310 25 0 0 0 0 358 585 217 30
1413747535 227301 0 0 0 0 483 589 262 30 0 0 0 0 374 585 283 30 0 0 0 0 372 585 199 30
1413747536 228302 0 0 0 0 504 588 224 30 0 0 0 0 388 585 245 30 0 0 0 0 342 585 201 30
1413747537 229307 0 0 0 0 494 587 210 30 0 0 0 0 357 586 232 30 0 0 0 0 355 585 185 30
1413747538 230312 0 0 0 0 512 588 191 30 0 0 0 0 371 585 213 25 0 0 0 0 353 585 178 30
