1413747310 utime AM_vel(rpm) AM_supV(dV) AM_supI(dA)
1413747395 87025 -18192 -18703 -19072
1413747395 87278 -18192 -18703 -19072
1413747395 87535 -18192 -18703 -19072
1413747395 87791 -18192 -18703 -19072
1413747396 88045 -18192 -18703 -19072
1413747396 88297 -18192 -18703 -19072
1413747396 88554 -18192 -18703 -19072
1413747396 88807 -18192 -18703 -19072
1413747397 89060 -18192 -18703 -19072
1413747397 89316 -18192 -18703 -19072
1413747397 89569 -18192 -18703 -19072
1413747397 89824 -18192 -18703 -19072
1413747398 90076 -18192 -18703 -19072
1413747398 90333 -18192 -18703 -19072
1413747398 90591 -18192 -18703 -19072
1413747398 90846 -18192 -18703 -19072
1413747399 91098 -18192 -18703 -19072
1413747399 91352 -18192 -18703 -19072
1413747399 91607 -18192 -18703 -19072
1413747399 91872 -18192 -18703 -19072
1413747400 92125 -18192 -18703 -19072
1413747400 92379 -18192 -18703 -19072
1413747400 92631 -18192 -18703 -19072
1413747400 92883 -18192 -18703 -19072
1413747401 93137 -18192 -18703 -19072
1413747401 93394 -18192 -18703 -19072
1413747401 93652 -18192 -18703 -19072
1413747401 93907 -18192 -18703 -19072
1413747402 94158 -18192 -18703 -19072
1413747402 94415 -18192 -18703 -19072
1413747402 94670 -18192 -18703 -19072
1413747402 94924 -18192 -18703 -19072
1413747403 95179 -18192 -18703 -19072
1413747403 95435 -18192 -18703 -19072
1413747403 95686 -18192 -18703 -19072
1413747403 95942 -18192 -18703 -19072
1413747404 96199 -18192 -18703 -19072
1413747404 96455 -18192 -18703 -19072
1413747404 96709 -18192 -18703 -19072
1413747404 96969 -18192 -18703 -19072
1413747405 97220 -18192 -18703 -19072
1413747405 97471 -18192 -18703 -19072
1413747405 97728 -18192 -18703 -19072
1413747405 97985 -18192 -18703 -19072
1413747406 98242 -18192 -18703 -19072
1413747406 98499 -18192 -18703 -19072
1413747406 98750 -18192 -18703 -19072
1413747407 99004 -18192 -18703 -19072
1413747407 99258 -18192 -18703 -19072
1413747407 99510 -18192 -18703 -19072
1413747407 99765 -18192 -18703 -19072
1413747408 100022 -18192 -18703 -19072
1413747408 100279 -18192 -18703 -19072
1413747408 100533 -18192 -18703 -19072
1413747408 100793 -18192 -18703 -19072
1413747409 101045 -18192 -18703 -19072
1413747409 101301 -18192 -18703 -19072
1413747409 101553 -18192 -18703 -19072
1413747409 101961 -18192 -18703 -19072
1413747410 102217 -18192 -18703 -19072
1413747410 102473 -18192 -18703 -19072
1413747410 102748 -18192 -18703 -19072
1413747411 103006 -18192 -18703 -19072
1413747411 103258 -18192 -18703 -19072
1413747411 103515 -18192 -18703 -19072
1413747411 103770 -18192 -18703 -19072
1413747412 104021 -18192 -18703 -19072
1413747412 104272 -18192 -18703 -19072
1413747412 104523 -18192 -18703 -19072
1413747412 104778 -18192 -18703 -19072
1413747413 105029 -18192 -18703 -19072
1413747413 105285 -18192 -18703 -19072
1413747413 105548 -18192 -18703 -19072
1413747413 105811 -18192 -18703 -19072
1413747414 106063 -18192 -18703 -19072
1413747414 106316 -18192 -18703 -19072
1413747414 106573 -18192 -18703 -19072
1413747415 107484 -18192 -18703 -19072
1413747415 107737 -18192 -18703 -19072
1413747415 107988 -18192 -18703 -19072
1413747416 108241 -18192 -18703 -19072
1413747416 108498 -18192 -18703 -19072
1413747416 108756 -18192 -18703 -19072
1413747417 109009 -18192 -18703 -19072
1413747417 109262 -18192 -18703 -19072
1413747417 109515 -18192 -18703 -19072
1413747417 109771 -18192 -18703 -19072
1413747418 110025 -18192 -18703 -19072
1413747418 110281 -18192 -18703 -19072
1413747418 110538 -18192 -18703 -19072
1413747418 110792 -18192 -18703 -19072
1413747419 111044 -18192 -18703 -19072
1413747419 111297 -18192 -18703 -19072
1413747419 111549 -18192 -18703 -19072
1413747419 111808 -18192 -18703 -19072
1413747420 112065 -18192 -18703 -19072
1413747420 112318 -18192 -18703 -19072
1413747420 112573 -18192 -18703 -19072
1413747420 112827 -18192 -18703 -19072
1413747421 113082 -18192 -18703 -19072
1413747421 113335 -18192 -18703 -19072
1413747421 113588 -18192 -18703 -19072
1413747421 113846 -18192 -18703 -19072
1413747422 114104 -18192 -18703 -19072
1413747422 114360 -18192 -18703 -19072
1413747422 114616 -18192 -18703 -19072
1413747422 114867 -18192 -18703 -19072
1413747423 115123 -18192 -18703 -19072
1413747423 115378 -18192 -18703 -19072
1413747423 115629 -18192 -18703 -19072
1413747423 115880 -18192 -18703 -19072
1413747424 116138 -18192 -18703 -19072
1413747424 116395 -18192 -18703 -19072
1413747424 116647 -18192 -18703 -19072
1413747424 116905 -18192 -18703 -19072
1413747425 117163 -18192 -18703 -19072
1413747425 117414 -18192 -18703 -19072
1413747425 117669 -18192 -18703 -19072
1413747425 117934 -18192 -18703 -19072
1413747426 118193 -18192 -18703 -19072
1413747426 118447 -18192 -18703 -19072
1413747426 118698 -18192 -18703 -19072
1413747426 118955 -18192 -18703 -19072
1413747427 119207 -18192 -18703 -19072
1413747427 119459 -18192 -18703 -19072
1413747427 119710 -18192 -18703 -19072
1413747427 119967 -18192 -18703 -19072
1413747428 120219 -18192 -18703 -19072
1413747428 120475 -18192 -18703 -19072
1413747428 120733 -18192 -18703 -19072
1413747428 120995 -18192 -18703 -19072
1413747429 121246 -18192 -18703 -19072
1413747429 121506 -18192 -18703 -19072
1413747429 121761 -18192 -18703 -19072
1413747430 122016 -18192 -18703 -19072
1413747430 122268 -18192 -18703 -19072
1413747430 122522 -18192 -18703 -19072
1413747430 122775 -18192 -18703 -19072
1413747431 123026 -18192 -18703 -19072
1413747431 123281 -18192 -18703 -19072
1413747431 123532 -18192 -18703 -19072
1413747431 123783 -18192 -18703 -19072
1413747432 124040 -18192 -18703 -19072
1413747432 124291 -18192 -18703 -19072
1413747432 124546 -18192 -18703 -19072
1413747432 124802 -18192 -18703 -19072
1413747433 125060 -18192 -18703 -19072
1413747433 125318 -18192 -18703 -19072
1413747433 125570 -18192 -18703 -19072
1413747433 125830 -18192 -18703 -19072
1413747434 126082 -18192 -18703 -19072
1413747434 126340 -18192 -18703 -19072
1413747434 126595 -18192 -18703 -19072
1413747434 126848 -18192 -18703 -19072
1413747435 127101 -18192 -18703 -19072
1413747435 127353 -18192 -18703 -19072
1413747435 127604 -18192 -18703 -19072
1413747435 127855 -18192 -18703 -19072
1413747436 128112 -18192 -18703 -19072
1413747436 128364 -18192 -18703 -19072
1413747436 128620 -18192 -18703 -19072
1413747436 128875 -18192 -18703 -19072
1413747437 129130 -18192 -18703 -19072
1413747437 129381 -18192 -18703 -19072
1413747437 129639 -18192 -18703 -19072
1413747437 129897 -18192 -18703 -19072
1413747438 130149 -18192 -18703 -19072
1413747438 130402 -18192 -18703 -19072
1413747438 130655 -18192 -18703 -19072
1413747438 130913 -18192 -18703 -19072
