1413747310 utime volts24 volts12 gappos gapmotor BSChKill MotCont MotPreC ArrCont ArrPreC GapD1 GapIN1 GapIN2 ArrayA ArrayB ArrayC Estop Thren
1413747623 315741 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747624 316746 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747625 317747 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747626 318749 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747627 319753 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747628 320754 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747629 321766 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747630 322771 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
1413747631 323774 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1
1413747632 324777 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1
