1413747310 utime  bx(uT) by(uT) bz(uT)  B(uT) ax    ay  az     A     gx   gy    gz   T(C) rate  track tilt roll
1413747310 mins  -1000 -1000 -1000     0    -2000 -2000 -2000  0   -2000  -2000 -2000 -2000  0  0  -180 -180
1413747310 maxs   1000  1000  1000    1000   2000  2000  2000 2000  2000   2000  2000  2000  37000 360 180 180
1413747310 attr     F     F     F      F      F     F    F     F     F      F     F     F     I F F F
1413747425 117783 31.9611 25.6393 -1.61311 41.006 -8.75372 -0.659349 3.28214 9.37202 1.58588 6.03397 -0.189311 42.6032 8 0 0 0
1413747426 118788 32.4064 25.7362 -1.1836 41.3997 -8.79102 -0.648793 3.29268 9.40982 2.48228 4.44512 -0.48306 42.5425 8 0 0 0
1413747427 119794 31.9041 25.9325 -1.70844 41.1495 -8.76964 -0.664662 3.27981 9.38646 2.92454 4.91341 -1.0131 42.6335 9 0 0 0
1413747428 120797 32.2282 25.704 -1.28537 41.2433 -8.78722 -0.644558 3.27831 9.40096 2.7446 4.85115 -0.306917 42.7171 8 0 0 0
1413747429 121798 32.1395 24.8394 -1.21446 40.6377 -8.74321 -0.64802 3.29257 9.36508 2.10108 5.51483 -0.965346 42.6808 9 0 0 0
1413747430 122806 32.0004 25.0641 -0.814022 40.6558 -8.76515 -0.627584 3.27635 9.3785 3.05654 5.14399 0.313943 42.6551 9 0 0 0
1413747431 123808 32.1061 25.2045 -1.03373 40.8305 -8.75591 -0.657984 3.28579 9.37525 1.89653 5.18038 -2.75222 42.6324 9 0 0 0
1413747432 124809 32.0685 25.4073 -1.17695 40.9305 -8.7555 -0.673068 3.27312 9.3715 2.85992 4.36065 -1.56668 42.6271 8 0 0 0
1413747433 125815 32.3135 25.3643 -1.12913 41.0948 -8.77569 -0.639659 3.30743 9.40005 2.22372 3.90277 -1.56136 42.6938 8 0 0 0
1413747434 126822 32.6123 25.2163 -0.920157 41.2343 -8.79989 -0.634114 3.28645 9.41493 2.40778 5.15186 -2.51845 42.6835 8 0 0 0
1413747435 127829 32.5695 25.6192 -1.1122 41.453 -8.76892 -0.621743 3.24993 9.37243 2.44557 5.21599 -0.488839 42.6104 9 0 0 0
1413747436 128833 32.1758 25.2685 -0.642665 40.9169 -8.78689 -0.638625 3.25543 9.39229 2.7323 5.17963 -1.18502 42.7409 8 0 0 0
1413747437 129834 32.5149 25.1424 -1.24718 41.1207 -8.74044 -0.665249 3.2743 9.35729 2.87785 5.91118 -1.05657 42.6976 8 0 0 0
1413747438 130840 32.0449 25.4168 -1.04414 40.9143 -8.76873 -0.655858 3.27636 9.38378 2.38874 5.09329 -2.1528 42.7446 8 0 0 0
1413747439 131845 32.1015 25.2883 -1.1774 40.8826 -8.74782 -0.656211 3.24367 9.35288 2.66552 5.57842 -1.70713 42.719 8 0 0 0
1413747440 132852 32.1665 25.5268 -1.19442 41.082 -8.76531 -0.653346 3.2979 9.38795 1.64291 5.74138 -1.59139 42.6465 9 0 0 0
1413747441 133857 31.7177 25.4858 -1.34424 40.7105 -8.74901 -0.662155 3.31812 9.38048 2.99965 5.43936 -1.2367 42.7141 8 0 0 0
1413747442 134865 32.2188 25.411 -1.31108 41.0547 -8.79045 -0.632422 3.29062 9.40745 2.15613 5.13891 -1.01959 42.7861 7 0 0 0
1413747443 135870 32.2314 25.0494 -1.16285 40.8373 -8.75641 -0.65204 3.2718 9.37041 1.78634 3.59937 -1.28921 42.7182 8 0 0 0
1413747444 136875 32.6833 25.5375 -0.880389 41.4866 -8.75727 -0.664079 3.26683 9.37032 1.74659 5.59018 -0.384976 42.7228 8 0 0 0
1413747445 137879 32.575 25.4022 -0.901804 41.3185 -8.75125 -0.65505 3.27585 9.36721 2.32844 5.69245 -2.76078 42.8008 9 0 0 0
1413747446 138882 32.7629 25.534 -0.941666 41.5486 -8.75789 -0.661836 3.2848 9.37702 1.90068 5.62466 -0.831105 42.7113 9 0 0 0
1413747447 139886 33.0252 25.8722 -0.706047 41.9587 -8.75118 -0.64144 3.27694 9.36659 2.70162 4.7703 0.120075 42.7273 8 0 0 0
1413747448 140889 33.1268 26.324 -0.449433 42.3147 -8.74687 -0.634217 3.28407 9.36457 2.64601 4.17949 -0.880056 42.794 8 0 0 0
1413747449 141892 33.0846 26.0605 -0.904332 42.1255 -8.76944 -0.66209 3.30949 9.3965 1.50471 4.86601 -2.66199 42.7992 8 0 0 0
